Tweet Content,Source,Cleaned_Tweet,Sentiment,Label
UBER market cap would get destroyed 😂,,uber market cap would get destroyed,0.0,0
@trader_dan @Callum_Thomas The stock market has never been safe and will never be. Stocks are risky assets and the risk sometimes appears in the most unexpected moment. We need to be always mindful of this,,stock market never safe never stocks risky assets risk sometimes appears unexpected moment need always mindful,-0.075,0
"@MichaelHieber13 @Sigma_6_Cypher @TalbertSwan It’s true if instead of putting it in a money market account, you put in stock &amp; bond index fund.",,true instead putting money market account put stock amp bond index fund,0.35,1
"@DamianLow3 Business is abandoning the Uk, consumer confidence at an all time low and the stock market down . Genius",,business abandoning uk consumer confidence time low stock market genius,0.0,0
"@TheDeviantBoss Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
All of them must come to mfd  ( Entrepreneur ) + stock market intermediary + trainer s office .,,must come mfd entrepreneur stock market intermediary trainer office,0.0,0
To learn wealth management + financial intelligence + financial planning + skills + power of compounding + how to avoid taxes  + generational  wealth . Good . https://t.co/5MX1D2kS2M,,learn wealth management financial intelligence financial planning skills power compounding avoid taxes generational wealth good,0.2333333333333333,1
"@Sigma_6_Cypher @TalbertSwan I think that’s a little bit inflated. But do the same calculation, but put the money in the stock market and the return is 45 times that of what you get from a money market.",,think thats little bit inflated calculation put money stock market return times get money market,-0.1875,0
London Stock Market Exodus Worst in 14 Years Under Labour https://t.co/p75Pk2Zu74 #RachelfromAccounts crashed the economy!,,london stock market exodus worst years labour crashed economy,-1.0,0
#bbcnews #skynews #ITVNews #GBNews #c4news https://t.co/vBMAQTKqeI,,,0.0,0
Start winning in the stock market TODAY with our time-tested signals 💥,,start winning stock market today timetested signals,0.5,1
https://t.co/PvzEEaJylt,,,0.0,0
